evento_id,tipo,subtipo,calle,lat,lon,timestamp,fecha_evento,hora_evento,fuente,procesado
jam_1744578192000_-33.407905_-70.599678,JAM,JAM_STAND_STILL_TRAFFIC,Av. Presidente Kennedy,-33.407905,-70.599678,1744578192000,2025-04-13T21:03:12Z,21:03:12,scraper,False
jam_1744578237000_-33.528484_-70.603521,JAM,JAM_HEAVY_TRAFFIC,Av. Américo Vespucio,-33.528484,-70.603521,1744578237000,2025-04-13T21:03:57Z,21:03:57,scraper,False
jam_1744578275000_-33.445055_-70.633074,JAM,JAM_HEAVY_TRAFFIC,Av. Vicuña Mackenna,-33.445055,-70.633074,1744578275000,2025-04-13T21:04:35Z,21:04:35,scraper,False
jam_1744578340000_-33.405628_-71.203159,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.405628,-71.203159,1744578340000,2025-04-13T21:05:40Z,21:05:40,scraper,False
jam_1744578362000_-33.572656_-70.554915,JAM,JAM_HEAVY_TRAFFIC,Av. Camilo Henríquez,-33.572656,-70.554915,1744578362000,2025-04-13T21:06:02Z,21:06:02,scraper,False
jam_1744578362000_-33.572756_-70.554897,JAM,JAM_HEAVY_TRAFFIC,Av. Camilo Henríquez,-33.572756,-70.554897,1744578362000,2025-04-13T21:06:02Z,21:06:02,scraper,False
jam_1744578411000_-33.406888_-71.185584,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.406888,-71.185584,1744578411000,2025-04-13T21:06:51Z,21:06:51,scraper,False
jam_1744578424000_-33.407423_-71.182914,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.407423,-71.182914,1744578424000,2025-04-13T21:07:04Z,21:07:04,scraper,False
jam_1744578429000_-33.479692_-70.743053,JAM,JAM_STAND_STILL_TRAFFIC,Av. Pajaritos,-33.479692,-70.743053,1744578429000,2025-04-13T21:07:09Z,21:07:09,scraper,False
jam_1744578456000_-33.408931_-71.175488,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.408931,-71.175488,1744578456000,2025-04-13T21:07:36Z,21:07:36,scraper,False
jam_1744578481000_-33.455014_-70.630021,JAM,JAM_HEAVY_TRAFFIC,Av. Vicuña Mackenna,-33.455014,-70.630021,1744578481000,2025-04-13T21:08:01Z,21:08:01,scraper,False
jam_1744578491000_-33.398567_-70.586988,JAM,,Av. Vitacura,-33.398567,-70.586988,1744578491000,2025-04-13T21:08:11Z,21:08:11,scraper,False
jam_1744578494000_-33.410762_-71.166163,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.410762,-71.166163,1744578494000,2025-04-13T21:08:14Z,21:08:14,scraper,False
jam_1744578512000_-33.411471_-71.162405,JAM,JAM_HEAVY_TRAFFIC,Ruta 68,-33.411471,-71.162405,1744578512000,2025-04-13T21:08:32Z,21:08:32,scraper,False
jam_1744578528000_-33.451653_-70.633089,JAM,JAM_STAND_STILL_TRAFFIC,Av. 10 de Julio Huamachuco,-33.451653,-70.633089,1744578528000,2025-04-13T21:08:48Z,21:08:48,scraper,False
